[W 260923 10:34:10 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[I 260923 10:34:12 smartConnect:496] Search successful. Found 7220 trading symbols for the given query:
    281. exchange: NFO, tradingsymbol: NIFTY03NOV2625200CE, symboltoken: 54450
    282. exchange: NFO, tradingsymbol: NIFTY03NOV2625200PE, symboltoken: 54451
    283. exchange: NFO, tradingsymbol: NIFTY03NOV2625250CE, symboltoken: 54452
    284. exchange: NFO, tradingsymbol: NIFTY03NOV2625250PE, symboltoken: 54507
    285. exchange: NFO, tradingsymbol: NIFTY03NOV2625300PE, symboltoken: 54509
    286. exchange: NFO, tradingsymbol: NIFTY03NOV2625350CE, symboltoken: 54510
    287. exchange: NFO, tradingsymbol: NIFTY03NOV2625350PE, symboltoken: 54513
    288. exchange: NFO, tradingsymbol: NIFTY03NOV2625400CE, symboltoken: 54514
    289. exchange: NFO, tradingsymbol: NIFTY03NOV2625400PE, symboltoken: 54515
    290. exchange: NFO, tradingsymbol: NIFTY03NOV2625450CE, symboltoken: 54516
    291. exchange: NFO, tradingsymbol: NIFTY03NOV2625450PE, symboltoken: 54517
    292. exchange: NFO, tradingsymbol: NIFTY03NOV2625500CE, symboltoken: 54518
    293. exchange: NFO, tradingsymbol: NIFTY03NOV2625500PE, symboltoken: 54519
    294. exchange: NFO, tradingsymbol: NIFTY03NOV2625550CE, symboltoken: 54520
    295. exchange: NFO, tradingsymbol: NIFTY03NOV2625550PE, symboltoken: 54521
    296. exchange: NFO, tradingsymbol: NIFTY03NOV2625600CE, symboltoken: 54522
    297. exchange: NFO, tradingsymbol: NIFTY03NOV2625600PE, symboltoken: 54523
    298. exchange: NFO, tradingsymbol: NIFTY03NOV2625650CE, symboltoken: 54524
    299. exchange: NFO, tradingsymbol: NIFTY03NOV2625650PE, symboltoken: 54525
    300. exchange: NFO, tradingsymbol: NIFTY03NOV2625700CE, symboltoken: 54526
    301. exchange: NFO, tradingsymbol: NIFTY03NOV2625700PE, symboltoken: 54527
    302. exchange: NFO, tradingsymbol: NIFTY03NOV2625750CE, symboltoken: 54528
    303. exchange: NFO, tradingsymbol: NIFTY03NOV2625750PE, symboltoken: 54529
    304. exchange: NFO, tradingsymbol: NIFTY03NOV2625800CE, symboltoken: 54530
    305. exchange: NFO, tradingsymbol: NIFTY03NOV2625800PE, symboltoken: 54531
